Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
Not a protected category 31 - 35 years,Male,Informatics,Five-year degree,Services and Information Systems,Tech Consulting & Solutions,Advanced Consultant,3,3,3,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,NO COLLEGE,High school graduation,Others,Tech Consulting & Solutions,Technician,2,2,2,2,1,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,NO COLLEGE,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Informatics,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Defence,Not Specified,Not Specified,3,3,3,3,1,3,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,3,2,1,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Other,High school graduation,Others,Not Specified,Not Specified,2,2,3,3,2,2,Yes,Yes,Negative
Not a protected category < 20 years,Female,Scientific Field,High school graduation,Space,Not Specified,Not Specified,3,2,3,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Female,Engineering,Doctorate,Automotive,Not Specified,Not Specified,2,2,3,3,3,4,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Economic,Five-year degree,Others,Not Specified,Not Specified,3,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,1,2,2,1,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Female,Informatics,High school graduation,Others,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Other,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,1,3,3,3,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,3,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Energy,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Other,Five-year degree,Others,Not Specified,Not Specified,3,2,3,3,3,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Medical Field,Five-year degree,Defence,Not Specified,Not Specified,3,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Informatics,Three-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,3,3,2,2,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,3,3,3,3,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,3,3,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Automotive,Tech Consulting & Solutions,Advanced Consultant,3,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Scientific Field,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,No,No,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,2,3,3,3,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Other,Five-year degree,Others,Not Specified,Not Specified,1,2,3,3,3,2,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,4,2,3,2,1,3,Yes,Yes,Positive
Not a protected category < 20 years,Female,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,2,2,1,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Economic,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Informatics,High school graduation,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Informatics,Three-year degree,Services and Information Systems,Not Specified,Not Specified,1,1,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,3,2,2,1,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Female,Scientific Field,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,3,3,No,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Consulting,Tech Consulting & Solutions,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Yes < 20 years,Male,Other,High school graduation,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,2,2,1,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,NO COLLEGE,High school graduation,Defence,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Informatics,Three-year degree,Defence,Not Specified,Not Specified,2,2,2,3,1,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Informatics,High school graduation,Defence,Not Specified,Not Specified,1,2,2,2,1,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Scientific Field,Five-year degree,Aeronautics,Not Specified,Not Specified,3,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,1,2,2,2,2,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,3,3,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Other,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,1,2,1,2,2,1,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,4,2,3,2,1,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Other,High school graduation,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,NO COLLEGE,High school graduation,Others,Not Specified,Not Specified,2,2,3,2,2,1,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,3,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Linguistics,Three-year degree,Others,Enabling Function,Support,2,3,2,3,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Tech Consulting & Solutions,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,1,1,1,2,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Economic,Three-year degree,Others,Not Specified,Not Specified,1,2,2,1,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Informatics,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,3,2,3,2,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Three-year degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,1,3,3,Yes,Yes,Positive
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Yes < 20 years,Female,Other Humanities Subjects,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 20 - 25 years,Female,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,3,2,2,2,1,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Economic,Three-year degree,Others,Not Specified,Not Specified,2,2,2,3,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Other Humanities Subjects,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Other,Five-year degree,Automotive,Not Specified,Not Specified,2,3,2,3,4,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,3,2,3,3,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Three-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,3,2,2,4,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,1,2,1,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Scientific Field,High school graduation,Automotive,Not Specified,Not Specified,3,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,3,3,3,2,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category < 20 years,Male,Scientific Field,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,2,1,1,3,2,Yes,Yes,Negative
